ID_genome_file,eAUCH2O2,eAUC18C,eAUCpH,eAUCSA,eAUCGB,eAUCKCl
ST92ISR_Ar_11g,166.83776457904,217.917703287243,408.690529986997,131.43872734786,250.901557747113,131.55735392911
ST92ISR_Ar_11i,69.6341334097688,99.5496782002826,279.705152438123,29.439066053169,173.22799130815,87.8180155632299
ST92ISR_Ar_12d,157.484784092254,718.36174883314,239.965576640311,60.8193297628408,254.521721576296,68.3197643384974
ST92ISR_Ar_12f,154.653659629806,193.389596279294,235.705960804754,106.969841443645,169.432643351032,108.82936187957
ST92ISR_Ar_15a,234.642951030173,463.839735289239,528.071615884186,36.8423123938305,371.302068902601,64.5288348873525
ST92ISR_Ar_15c,93.5773041162658,114.385737254219,123.721766689567,19.6545621445443,84.8234593256525,26.5661689291095
ST92ISR_Ar_16a,64.9899535095123,80.767966142872,104.176886131408,47.5293251005533,75.0059385146646,33.638707526809
ST92ISR_Ar_16h,80.1531072645255,154.220536221774,539.834841707247,77.812462142029,532.904968104056,27.1391122854948
ST92ISR_Ar_17d,552.864360066627,568.719784595996,743.066224850586,78.2047731955858,566.067994896369,73.3929145555529
ST92ISR_Ar_17e,479.872306769727,229.773467039413,420.407430758663,60.3373188328829,227.665532590104,107.810745391078
ST92ISR_Ar_17i,210.243076443193,213.983982049406,331.563992610529,77.0465624776095,219.009294660745,66.1153636799393
ST92ISR_Ar_18b,463.83133689195,730.349805278577,663.654219889889,400.985341750822,490.708309682175,87.5944523491892
ST92ISR_Ar_19e,86.8925101079957,199.654731133781,265.245292681147,59.3843864992477,208.499459376188,76.4580311625678
ST92ISR_Ar_1b,165.492967497615,148.194937431509,217.380204399302,82.4460965601565,184.416606495064,102.12162072529
ST92ISR_Ar_1c,226.276030017382,446.956041527692,816.529211837841,273.546782842434,603.921330573537,90.1389663013555
ST92ISR_Ar_1j,169.83632550115,272.623807005419,259.634645401127,63.301460703328,383.070638678152,250.295473156609
ST92ISR_Ar_21a,176.8158139222,369.350416930227,438.937628555741,40.7588316297365,393.214457014697,57.5134755386325
ST92ISR_Ar_22f,238.112963620384,272.492692902083,504.933224838187,143.284996271031,436.334583546254,104.170139873966
ST92ISR_Ar_2f,239.115492280146,319.437276103528,331.340998887259,176.65001174235,253.085725236878,70.9507839023365
ST92ISR_Ar_4b,69.3751256878562,117.896075227194,186.032662084379,45.2070804007975,95.3681619520194,30.0698037611886
ST92ISR_Ar_4e,285.651313927415,574.210286350886,516.82766046007,73.2146382741098,284.736316825983,53.2684683617756
ST92ISR_Ar_4f,204.525635345636,306.889106490913,523.39115847267,272.657271467899,422.7949312291,166.824795171754
