ID_genome_file,Max_grey0C_08dpi,Max_grey0C_12dpi,Max_grey0C_15dpi,Max_grey0C_19dpi,Max_grey18C_08dpi,Max_grey18C_12dpi,Max_grey18C_15dpi,Max_grey18C_19dpi,Max_grey30C_08dpi,Max_grey30C_12dpi,Max_grey30C_15dpi,Max_grey30C_19dpi
ST90ORE_a12_3B_4,176.359052711994,147.034151034151,146.990476190476,148.436914936915,183.55,136.2,167.275,172.275,NA,NA,NA,NA
ST90ORE_a12_3B_5,178.222222222222,184.088888888889,190.588888888889,167.666666666667,183.933333333333,180.494444444444,167.805555555556,156.219696969697,185.994949494949,180.89696969697,164.248484848485,152.39696969697
ST90ORE_a12_3B_6,197.232142857143,203.095238095238,193.922619047619,176.146825396825,188.001058201058,200.711904761905,201.691666666667,192.525,191.336624160154,199.511111111111,186.576423576424,166.60119047619
ST90ORE_a12_3B_7,160.994949494949,NA,156.212962962963,164.87962962963,159.453703703704,NA,153.430555555556,165.142857142857,153.944444444444,NA,155.222222222222,166.166666666667
ST90ORE_a12_3B_8,174.757142857143,161.869047619048,160.175925925926,156.763888888889,179.668376068376,156.905616605617,153.416524216524,173.52380952381,171.122368421053,154.051656920078,153.99332788671,168.788888888889
ST90ORE_a12_3B_9,190.861111111111,140.64126984127,164.863275613276,151.206060606061,186.548148148148,152.942307692308,155.262820512821,158.513888888889,NA,NA,NA,NA
ST90ORE_a12_4A_1,166.628042328042,149.173931623932,148.49010989011,143.046209587514,166.495894909688,141.400766283525,161.77618871056,163.805555555556,169.771241830065,145.746323529412,151.281481481481,160.394117647059
ST90ORE_a12_4A_10,167.032407407407,171.930555555556,176.041666666667,178.5,169.799564270153,167.059413580247,168.124761904762,172.075396825397,165.787878787879,178.203846153846,169.911156095367,165.167297979798
ST90ORE_a12_4A_11,175.237037037037,171.7,148.389010989011,146.935185185185,171.392676767677,149.136363636364,146.304901185771,146.448484848485,174.011072261072,162.216524216524,148.830484330484,149.685017596782
ST90ORE_a12_4A_2,174.621212121212,165.660714285714,169.515873015873,186.457142857143,175.342857142857,152.9,156,169.516666666667,170.836538461538,153.485890652557,162.964444444444,170.447368421053
ST90ORE_a12_4A_4,172.607542087542,156.690846681922,148.751816409711,144.712301587302,171.038461538462,165.6,162.15,147.116666666667,171.742857142857,158.347643097643,147.238383838384,147.865079365079
ST90ORE_a12_4A_5,173.653975653976,175.758611758612,171.361564361564,163.195286195286,173.72784992785,172.907936507937,153.190476190476,158.996065531476,173.321428571429,165.079352793749,147.203793859649,147.362213225371
ST90ORE_a12_4A_6,173.194444444444,176.144444444444,177.65,167.366666666667,173.575925925926,175.872222222222,166.911111111111,164.84126984127,176.096866096866,172.746438746439,151.903133903134,157.37037037037
ST90ORE_a12_4A_7,175.606349206349,172.43373015873,171.575396825397,161.968253968254,179.018518518519,187.361616161616,181.776094276094,159.97037037037,176.20303030303,187.363636363636,179.9,166.281818181818
ST90ORE_a15_2A_11,162,158.333333333333,184.5,159.833333333333,161,146.462962962963,156.240196078431,165.205555555556,161.15873015873,154.865079365079,159.396825396825,140.912698412698
