ID_genome_file,Mean_grey0C_08dpi,Mean_grey0C_12dpi,Mean_grey0C_15dpi,Mean_grey0C_19dpi,Mean_grey18C_08dpi,Mean_grey18C_12dpi,Mean_grey18C_15dpi,Mean_grey18C_19dpi,Mean_grey30C_08dpi,Mean_grey30C_12dpi,Mean_grey30C_15dpi,Mean_grey30C_19dpi
ST92ISR_Ar_21a,158.852932539683,146.129893939394,121.898619047619,90.6230779220779,155.785888888889,140.76,122.744833333333,96.1201111111111,NA,NA,NA,NA
ST92ISR_Ar_22f,158.8375,156.688987962963,155.856893518519,147.188693121693,158.984432748538,156.901688504478,155.718255317782,140.820138133796,156.826756944444,156.304992999325,155.030848599865,141.791767521368
ST92ISR_Ar_2f,162.084813397129,134.077650590245,113.856642017705,80.2330717896865,159.053868218056,128.891940431097,113.454183261183,72.1987292089249,162.148307017544,140.816588209655,123.8409687856,78.8460552941176
ST92ISR_Ar_4b,144.990948717949,NA,124.343081807082,106.069800505051,146.6444875,NA,112.98357429527,107.003981818182,145.7295995671,NA,118.992121212121,112.544522366522
ST92ISR_Ar_4e,159.588446428571,147.463354166667,125.366511904762,93.5825357142857,158.922200657895,144.669288040362,119.944043464052,87.1504924566318,161.297465608466,146.725825396825,124.3846,94.5304857142857
ST92ISR_Ar_4f,160.53393001443,140.684658080808,124.295030934343,92.713759469697,158.2194,135.8773,120.756785858586,96.7874555555556,158.588559259259,142.483925,125.5771625,101.439263888889
ST92ISR_Ar_5a,160.804,157.064388888889,147.756888888889,141.144888888889,163.371611111111,154.8454,144.010148148148,137.088777777778,NA,NA,NA,NA
ST92ISR_Ar_5g,134.743778451178,97.9915648148148,97.1523148148148,82.4338333333333,132.02421043771,97.7561387686388,92.6961178571429,83.6507559523809,134.986246794872,97.7101558441558,99.3721255411255,91.041876984127
ST90ORE_a12_3B_11,151.271494172494,106.605595238095,105.249406837607,104.155715242165,152.661301587302,112.209271062271,101.583666666667,102.145888278388,152.284909722222,107.798579166667,103.248716666667,102.248066666667
ST90ORE_a12_3B_15,154.390650793651,127.995296296296,102.070940740741,93.9534666666667,143.075853535354,116.398990811966,95.0298676739927,93.9950119047619,151.02612037037,120.746404761905,94.0112797619048,85.1377698412698
ST90ORE_a12_3B_17,158.8439,145.159625,112.929625,85.63635,156.875511243386,136.92205952381,99.3707178571429,84.7246154761905,NA,NA,NA,NA
ST90ORE_a12_3B_18,140.82818452381,NA,91.4860952380952,92.9763809523809,142.949833333333,NA,90.8721666666667,90.8645555555556,141.881472222222,NA,90.5350555555556,94.0494166666667
ST90ORE_a12_3B_19,161.865214285714,146.830161111111,126.004244444444,109.634351851852,158.723125,146.1557,128.4495,109.2763,NA,NA,NA,NA
ST90ORE_a12_3B_2,157.871566666667,106.491523809524,94.47595,72.7255396825397,157.663582407407,90.8987857142857,86.1985555555556,78.2759925925926,158.762602272727,93.4377803030303,84.2941944444444,70.6294375
ST90ORE_a12_3B_21,160.975098883573,118.499197146908,101.332195286195,96.3589937169312,161.157481060606,120.955655555556,109.176182967607,103.320549382716,163.398481746032,122.502986386216,104.01362254902,97.085355489418
ST90ORE_a12_3B_3,156.605752136752,137.678492551893,103.866736507937,94.1738396825397,158.873916666667,138.859583333333,107.127166666667,102.23575,155.716416666667,150.756083333333,123.5765,100.1035
ST90ORE_a12_3B_4,158.435950598421,81.1364191919192,75.0303825396825,75.9971837606838,156.30045,82.4718,77.305625,77.020025,NA,NA,NA,NA
