ID_genome_file,Std_grey0C_08dpi,Std_grey0C_12dpi,Std_grey0C_15dpi,Std_grey0C_19dpi,Std_grey18C_08dpi,Std_grey18C_12dpi,Std_grey18C_15dpi,Std_grey18C_19dpi,Std_grey30C_08dpi,Std_grey30C_12dpi,Std_grey30C_15dpi,Std_grey30C_19dpi
ST92ISR_Ar_16h,6.61066666666667,8.81641666666667,22.0321388888889,30.6243055555556,5.18779365079365,9.75242063492064,23.7961904761905,22.3084047619048,5.52013737373737,10.6058444444444,22.5296851851852,23.838062962963
ST92ISR_Ar_17d,6.99854464285714,17.1290105042017,19.335968627451,11.7455384615385,7.33180322128852,19.2802321428571,20.5261831501832,18.0447857142857,7.35510340808617,18.400397940224,18.4777296296296,NA
ST92ISR_Ar_17e,6.92781111111111,12.3806134453782,21.5557239316239,22.7355111111111,5.83028282828283,10.7504930555556,25.6959603174603,19.431735042735,NA,NA,NA,NA
ST92ISR_Ar_17i,5.10838095238095,NA,18.4966715608466,16.6082607022607,5.79678854864434,NA,18.3671105292557,9.26322725779967,4.93521428571429,NA,22.9267132936508,19.4646333333333
ST92ISR_Ar_18b,4.34680555555556,8.19379545454546,14.6069759259259,17.4047148148148,4.57856587301587,7.68738596491228,13.3829814814815,18.3838739495798,4.70601018518519,7.75465138888889,13.6113333333333,17.432788961039
ST92ISR_Ar_19e,2.59825,16.15125,20.64625,15.61575,4.21908225108225,15.0646763157895,14.3471421052632,13.3298519214703,3.44965,18.9951777777778,16.8091722222222,11.4126833333333
ST92ISR_Ar_1b,2.92358333333333,19.5047713675214,27.6539871794872,24.2753134920635,3.18454918414918,7.65444871794872,11.3669,19.302,3.43605679262258,21.7139018518519,25.0114166666667,16.9999112554113
ST92ISR_Ar_1c,2.85671872737399,17.7991199455859,21.0493234144098,19.690192679366,3.40795396825397,24.503580952381,29.6652888888889,27.8479333333333,NA,NA,NA,NA
ST92ISR_Ar_1j,8.78341666666667,14.291625,14.3872848739496,14.5608055555556,7.84024305555556,13.8955588522589,13.6980923076923,15.5307173382173,10.0010317460317,13.8858571428571,15.084380952381,16.9444761904762
ST92ISR_Ar_21a,4.20909523809524,10.1233232323232,22.9865,22.2570735930736,6.19694444444444,13.5026666666667,28.3728333333333,34.4777222222222,NA,NA,NA,NA
ST92ISR_Ar_22f,6.33027777777778,7.01551944444444,8.01138888888889,9.22986243386243,5.97899610136452,6.51624788369525,6.26022720262194,10.2245134952767,6.06734583333333,6.34311226383266,6.35243935560054,10.3639925925926
ST92ISR_Ar_2f,4.52711576289208,12.8492025544353,13.6995148427961,12.1648741152679,3.98109280327516,14.3076752795815,14.6779163059163,10.8785578093306,5.09871850079745,10.9648533652973,14.7476032505506,14.3863153921569
